Process Name,Count
System Idle Process,1
System,1
,1
Registry,1
Microsoft.Management.Services.IntuneWindowsAgent.exe,1
smartscreen.exe,1
svchost.exe,99
CcmExec.exe,1
smss.exe,1
firefox.exe,51
csrss.exe,2
ctfmon.exe,1
wininit.exe,1
winlogon.exe,1
services.exe,1
LsaIso.exe,1
explorer.exe,1
lsass.exe,1
WUDFHost.exe,4
fontdrvhost.exe,2
WmiPrvSE.exe,7
msedge.exe,18
TextInputHost.exe,1
dwm.exe,1
RuntimeBroker.exe,8
msedgewebview2.exe,8
conhost.exe,9
IntelCpHDCPSvc.exe,1
ApplicationFrameHost.exe,1
Code.exe,13
MemCompression,1
slack.exe,7
wlanext.exe,1
OneDrive.exe,1
spoolsv.exe,1
SgrmBroker.exe,1
ELANFPService.exe,1
ipfsvc.exe,1
OneApp.IGCC.WinService.exe,1
NgcIso.exe,1
IntelAudioService.exe,1
ipf_uf.exe,1
mongod.exe,1
jhi_service.exe,1
mysqld.exe,2
SMSvcHost.exe,2
FileCoAuth.exe,1
RstMwService.exe,1
TbtP2pShortcutService.exe,1
RtkAudUService64.exe,3
MsSense.exe,1
WMIRegistrationService.exe,1
dllhost.exe,3
ACCStd.exe,1
CodeSetup-stable-31c37ee8f63491495ac49e43b8544550fbae4533.tmp,1
BioIso.exe,1
SearchIndexer.exe,1
SearchApp.exe,2
NisSrv.exe,1
CmRcService.exe,1
ACCSvc.exe,1
chrome.exe,41
MsMpEng.exe,1
agentmonitor.exe,1
ZSAService.exe,1
SenseNdr.exe,1
keyacc32.exe,1
AgentExecutor.exe,1
kass.exe,1
aeagent.exe,1
SecurityHealthService.exe,1
SenseCE.exe,1
SenseTVM.exe,1
taskhostw.exe,2
QASvc.exe,1
ZSATrayManager.exe,1
SystemSettingsBroker.exe,1
ipf_helper.exe,1
sihost.exe,1
ZSATray.exe,1
ZSATunnel.exe,1
StartMenuExperienceHost.exe,1
SecurityHealthSystray.exe,1
unsecapp.exe,1
ms-teams.exe,1
notepad.exe,2
Microsoft.SharePoint.exe,1
powershell.exe,3
uhssvc.exe,1
LockApp.exe,1
SCNotification.exe,1
pwahelper.exe,1
CodeSetup-stable-31c37ee8f63491495ac49e43b8544550fbae4533.exe,1
QAAgent.exe,1
CalculatorApp.exe,1
CompPkgSrv.exe,1
QAAdminAgent.exe,1
dasHost.exe,1
ShellExperienceHost.exe,1
Video.UI.exe,1
ZSAUpm.exe,1
python.exe,1
pythonw.exe,2
IGCCTray.exe,1
SystemSettings.exe,1
msiexec.exe,1
pacjsworker.exe,1
UserOOBEBroker.exe,1
cmd.exe,1
IGCC.exe,1
